nomor_ulasan,nama_seller,ulasan_pembeli,kelas _sentimen,,,,,,
48,Bosonline,kecewa bgt...digambar pensilny ada 2 hitam dan coklat...yg dateng cuma 1 yg coklat...kecewa...ga sesuai!,negatif,,,,,,
49,Bosonline,"barang pas di buka hancur, enggak akan lagi belanja di lazada, telefon customer service pun tidak pernah tersambung",negatif,,,,,,
50,Bosonline,"Pengiriman cepat, barang sesuai pesanan. Ga kecewa deh, harga sesuai sama barang. Mksh lazada, makasih juga bos online",positif,,,,,,
51,Bosonline,"Barangnya sdh diterima, sesuai dgn pesanan, pengiriman lebih cepat dari estimasi. Thanks Bos Online. Thanks Lazada",positif,,,,,,
52,Bosonline,Barang sudah diterima dalam keadaan baik... Datang lebih awal dari estimasi... Belum dicoba semoga cocok dan bisa ngilangin jerawat dan bekas jerawat dimukaku.... Thanks lazada dan bosonline,positif,,,,,,
53,Bosonline,"Baru kali ini kecewa dgn lazada... Kemasannya msh kemasan lama,,tutup dalamnya botolnya jg tidak ori... wanginya juga kurang",negatif,,,,,,
54,Bosonline,Saya bayar nya 3 pcs tapi yg di kirim cm 2 pcs. Di tanyak juga gk di jawab. Hati-hati teman-temab jangan di order. Penipuan....,negatif,,,,,,
55,Bosonline,sblmnya thx utk lazada krn pengiriman nya cpt bngt. tp maf utk bos online. sy beli N2 pallete eyeshadow free stick concelar tp trnyta dlm pkt tdk di sertakan. sy sngat kecewa. bgmn ini store Bos Online utk kebijakan nya? jika promo sdh tdk ada lebih baik jgn di iklan kan. merugikan customer lain nya. trmksh.,negatif,,,,,,
56,Bosonline,"Barang ga sesuai gambar, brush nya longgar sm pegangannya, bulu ga bgtu halus, brush terlalu kecil , bnr2 kecewa",negatif,,,,,,
57,Bosonline,"Saya meragukan keasliannya, karena bulatan Jell yang menjepit bukan terbuat dari silikon lembut melainkan plastik biasa yang membuat hidung saya berbekas merah, tidak seperti milik teman saya",negatif,,,,,,
58,Bosonline,"Sudah sampai kemarin dan produk tidak ada cacat, cepat sampai, sabtu siang bayar senin siangnya sudah sampai",positif,,,,,,
59,Bosonline,Udah bagus murah dikasih hadiah pula . Siapa juga yang ga mau ! Mama aku seneng nerima barangnya dan akupun ikut senang ! Makasih seller . Makasih lazada !,positif,,,,,,
60,Bosonline,Barang bagus berkhasiat asli Dan terjamin.makasih buat saller Bosonline Dan lazada terbaiklah nanti Saya pesen lagi kalau udah habis heheh..,positif,,,,,,
61,Bosonline,"Thanks lazada paket nya udh sampe.. Kurir nya ramah banget,, dan packing nya rapih.dan catokan yang datengnya persis sama digambar. Ya walaupun cuma beda warna doang. Nyampe nya cepett banget.. Thanks lazada",positif,,,,,,
62,Bosonline,"Barang sudah diterima, packing rapih. Tinggal nunggu hasilnya,, kalau berhasil, pasti saya pesan lagi",positif,,,,,,
63,Bosonline,"Saya sudah tes keasliannya, pantesan harganya murah, buat team lazada tolong blaklist toko ini, karna saya sudah ditipu dan dirugikan!!!",negatif,,,,,,
64,Bosonline,gabagus barangnya! kalau mau nyari uang yg jujur2 aja dong .. jgn sampe ngerugiin orglain .. produk palsu di jual . muka yg tdnya mulus baru make sekali ini cream parah langsung bruntusan!!!! nyesel!,negatif,,,,,,
65,Bosonline,"Beda nih yang dipesan sama yang diterima..motif beda,warna golecha juga beda..trus ada cacatnya lagi di motif.beli 2. Agak kecewa",negatif,,,,,,
66,Bosonline,Pengiriman cepat. Dan warna palettenya juga bagus walaupun saat diaplikasikan warna kurang terlihat.Tapi masih bisa di siasati dengan menggunakan baby oil. Dengan harga yang terjangkau. Sangat cocok untuk make up pemula . Terimakasih Lazada,positif,,,,,,
67,Bosonline,Baru aja sampe. Cepet bgt sampenya. belom dicoba semoga hasill bagus. kalo cocok order terud,positif,,,,,,
68,Bosonline,"Barang yang dikirim tidak sesuai,. Dan lebih mahal dari harga yang tertera..sudah salah kirim barang dan barang yg dikirim lebih mahal. Penipuan karena ada unsur kesengajaan.",negatif,,,,,,
69,Bosonline,Isi sedikit banget dan keliatan kering. Sepertinya yang diberikan bekas sisaan. Gak dua kali beli ditempat ini!,negatif,,,,,,
70,Bosonline,"Puas banget!! Aku udah cek ke aslian nya ternyata original kok, hanya saja kemasan nya ialah kemasan lama... Cepat sampai nya dan rapi",positif,,,,,,
71,Bosonline,deskripsi jelas tertulis REVLON.... yg d kirim PON'DS.jelas merk yg berbeda.. dan mereka yg kasih komen laen seperti saya benar adanya...SAYA baru kali ini belanja d lazada sangat kecewa..BUAT LAZADA JANGAN KASIH PELUANG PENJUAL YG BERNIAT PENIPUAN SEPERTI INI. DEMI NAMA BESAR LAZADA...,negatif,,,,,,
72,Bosonline,"Terima kasih banyak untuk lazada, makeup pallete membuat saya puas dan harga yang terjangkau.. Love u lazada",positif,,,,,,
73,Bosonline,"SAYA SUKA DENGAN BASONLINE...PRODUKNYA SEP ORIGINAL, TIDAK SEPERTI YG LAIN NIPU2...TKS YAH BASONLINE...SAYA AKAN JADI PELANGGAN SETIA-MU, SAYA SUKA SEKALI PRODUKMU BEDA BANGER DGN SUPLIER LAIN...TKS JUGA BUAT LAZADA TINGKATKAN TERUS...",positif,,,,,,
74,Bosonline,Barang yang diterima tidak sesuai dengan yang di contohkan. saya terima warna hijau dan ukurannya kecil bukan jumbo.,negatif,,,,,,
75,Bosonline,"Packingnya ngak pakai kotak,cuma dibungkus pakai kantong plastik hitam, saya kecewa Barang nya palsu",negatif,,,,,,
76,Bosonline,"Makasih barang udah nyampe cepet banget tak kirain bakalan lama. Produk juga asli lho thanks LAZADA puas banget deh, next time order lagi!!!",positif,,,,,,
77,Bosonline,"Pengiriman hanya 1 Hari, barang dikemas dengan rapih, dan sesuai dengan gambar. Terimakasih lazada.",positif,,,,,,
78,Bosonline,"Datangnya cepet, kurirnya ramah, belum di coba sih, moga hasilnya memuaskan..",positif,,,,,,
79,Bosonline,Barang yang dikirim tidak sesuai dengan yang digambar etalase ... Ini penipuan dan melanggar undang-undang ITE,negatif,,,,,,
80,Bosonline,Packingnya rapi banget pake bubble wrap.. Pengiriman cepat baru kmrn order hari ini sampai.,positif,,,,,,
81,Bosonline,Maksih lazada dgn pelayanan anda saya puas karena brg diterima dgn cepat dan sesuai dgn pesanan,positif,,,,,,
82,Bosonline,Datangnya cepet. . .packingnya rapi. . .jumlahnya pas 30pcs. . Enaaakkk. . .mau pesen lagi. . .buat stok biar ga kehabisan :D,positif,,,,,,
83,Bosonline,"Barang sesuai , kurir juga ramah & sopan pokokny semua memuaskan .Terimakasih bosonline sukses terus buat Lazada..",positif,,,,,,
84,Bosonline,"barangnya cepet sampai, bagus banget packingnya rapi alhamdulillah gak ada yang pecah hihihi bagus bagus bagus lazada",positif,,,,,,
85,Bosonline,"Barangnya bagus,, brush nya lembut dan tidak rontok Pengiriman cepat estimate tanggal 10-16 augst barang udah nyampe tanggal 09 augst,, Pokoknya thanks LAZADA AND BOSONLINE",positif,,,,,,
86,Bosonline,"Pengirimannya sih sesuai .. Kemasannya juga rapi tp ko gak ada Stiker antifake kode nya yaa .. Trs gimana saya bisa ngecek produk ini asli atw palsu nya .. Tolong dund lazada d perbaiki lg masalah"" Sperti ini ..",negatif,,,,,,
87,Bosonline,"kok yg dateng cuma eye mask nya doang yg buat bibir nya gaada gimana sih kan itu di gambar nya sepaket, pakingan nya juga kurang rapi.",negatif,,,,,,
88,Bosonline,Kecewa bgt bgt bgt nyesel bgt beli ini . Ga sesuai gambar ga seperti yg diharapkan ga bgus . Jelek banget . Lipstiknya juga palsu ga sesuai gambar parah parah,negatif,,,,,,
89,Bosonline,"Barang dtang tdk sesuai estimasi padahal alamat sangat lengkap dan gampang ditemui krna saya sdh sring blnj online. Pas td barang sampe, trnyata pas dibuka barang TDK SESUAI orderan. Sy order MN POWDER EYEBROW, yg datang di paket saya malah Landbis eyebrow cream. Sangat kecewa. Saya beli bukan gratis. Baru kali ini blanja di lazada olshopnya ngaur",negatif,,,,,,
90,Bosonline,"Gak sesuai gambar, warna nya.. Masa baru sampe barang ud pecah .. Ga bagus pokok ny nyesel bgt beli ini",negatif,,,,,,
91,Bosonline,"bagus banget ini !!!!! suka bangetttt, packingnya juga rapi banget, no retur lah, ini kaya asli banget sih ckckck parah bagusnya",positif,,,,,,
92,Bosonline,Barangnya dateng lbh cepet. Packingnya rapi dan gak ada cacat. Sukaa. Thx lazada. Udah order berkali kali gk penah dikecewakan. Pertahankan,positif,,,,,,
93,Bosonline,Alhamndulillah paketx tepat nyampex..packingx rapi...aku suka lau hbs order lagi..pelayananx good..,positif,,,,,,
94,Bosonline,"Produk ny bagus., sblumnya sy juha sudah pernah pakai , jadi cocok",positif,,,,,,
95,Bosonline,"Sesuai produk, pesan jam7 malam kemarin hari ini sudah sampai rumah, packing rapih sekali,pokonya mantap semuanya thanks lazada, thanks bosonline saya akan berlangganan mantap",positif,,,,,,
96,Bosonline,terimakasih seller dan terimakasih lazada. berikanlah selalu pelayanan terbaik kepada semua pelanggan,positif,,,,,,
97,Bosonline,Tadinya saya kira bener warna warni. Pas sampe ditangan. Warna nya cuma merah sama hitam aja. Gak rainbow. Kecewa banget. Udah ngebayangin pake henna warna warni. itu cuma mimpi. Karna hennanya cuma merah hitam .maaf gan. Karna gambar rainbow. Seharusnya kirim rainbow juga,negatif,,,,,,
98,Bosonline,"Packing nya buruk, barang ga sesuai warna.. Begitu buka kotak, banyak debu dan pasir.. Nempel lagi d catokannya, kayaknya barang yg udah d smpan lama... Jadi agak lapuk kotaknya...",negatif,,,,,,
99,Bosonline,"Bau nya seperti bedak tabur, ngga pigmented, jangan beli deh nyesel ntar.. jangan tulis 100% asli dong lazada kalau bukan asli..",negatif,,,,,,
100,Bosonline,"Sangat tidak memuaskan, perbedaan dengan aprilskin baru bener"" keliatan. Harusnya kali masih baru kaca msh ada lapisan ya, sementara yang saya dapat tidak. Kedua isinya bener"" kaya udah habis. Saya berniat beli barang baru, bukan sisa",negatif,,,,,,
101,Bosonline,"Barang sudah sampai, padahal baru kemarin dibayar. Barang rapi paket rapi sukaaaa banget pokoknya belanja di lazada",positif,,,,,,
102,Bosonline,"barang sudah sampai, pengirimannya super cepat pantas saya kasih bintang 5, karena belum masuk waktu pengiriman eh thx barangnya ud sampai. Thanks ""Lazada.",positif,,,,,,
103,Bosonline,sesuai gambar dan benar gratis kuas.. Trimakasih,positif,,,,,,
104,Bosonline,"Barang nya sudah nyampe sist tadi sudah langsung dipakai juga, tapi kok ga sesuai yg saya mau ya sist komedo nya ga keangkat gitu . Ga sesuai gambar yg saya liat di slide nya .",negatif,,,,,,
105,Bosonline,"Barang palsu, sangat kecewa barang tidak sesuai pesanan pantas saja dapat diskon banyak ternyata barangnya tidak asli.",negatif,,,,,,
106,Bosonline,"Tolong saya mau tuker produk kadaluarsa,kapsul setelah dibuka bkn lotion seperti awal saya beli di toko online yg lain,tapi sdh cairan.Hati2 kalau ada yg mau beli,sdh beli sekali isi 4botol,benar2 mengecewakan.Kalau anda online bagus,hrs tanggung jawab dng produk yg saya beli.Ini telp saya 081282402200",negatif,,,,,,
107,Bosonline,KALO JUALAN TUH YANG JUJUR BILANGNYA ORI PADAHAL KW YG BENER AJA !!! Tidak akan halal tuh uangnya nipu orang lain dengan cara CURANG !,negatif,,,,,,
108,Bosonline,"Produk bagus & berkualitas, dengan harga terjangkau, serta memberikan bonus yang menarik.",positif,,,,,,
109,Bosonline,barangnya bagus saya suka pengepakan nya juga bagus dan pengantarnya sopan dan ramah,positif,,,,,,
110,Bosonline,Packing rapi.kurir ramah.pemakaian 1 paket udah keliatan bersih na.saya udh beli 2 paket.reaksi tanpa memerah dan perih.makasih lazada,positif,,,,,,
111,Bosonline,kecewa bgt padahal dah lama langganan di bosonline baru kali ini saya kcewa isinya sedikit bedaknya lengket isinya pada tumpah2 tolong dong beri kepuasan pelanggan,negatif,,,,,,
112,Bosonline,"GA bener NI lazada kebiasaan bgd orang persen warna apaa, Dateng warna apaa, coba lebih teliti lagi dong jangan asal kirim yng penting sampe ajaa, emosiii bgd liat barang pesanan GA sesuai",negatif,,,,,,
113,Bosonline,"suka banget bulunya halus lembut banget, datengnya cepet cuma sehari, kurir ramah terimakasih lazadaa",positif,,,,,,
114,Bosonline,Mkasih lazadaa. Bru psen kmren tdi siang dah dteng. Packing rapih. Barang sesuai gambar. Smga cocok dehhh.,positif,,,,,,
115,Bosonline,Kesel banget mau minta ganti barang yang dateng pecahhhh sumpah deh ini ngecewain banget . Mau minta ganti pkoknya .,negatif,,,,,,
116,Bosonline,"Sayangnya saya dapet yg palsu mahal doang,alhasil muka saya gosong......tp sekarang udah kembali lagi setelah ganti kosmetik..hn nya palsu",negatif,,,,,,
117,Bosonline,Makasi lazada And Bosoline puas bgt beli beberapa kali ngak pernah kecewa cepet lg datengnya bulan dpn pesen lg ya,positif,,,,,,
118,Bosonline,Barang yg dikirim tidak sesuai dg gambar n ada bbrp yg krg bagus bentuknya..harusnya toko ini di blacklist sama pihak LAZADA karna sudah menipu pembeli..sangat tidak puas dg pelayanan dr toko ini..tolong LAZADA tindak lanjuti,negatif,,,,,,
119,Bosonline,"Saya k cewa binggittt,barang yg d kirim pecah untung cuman 1,coba klo semua gk bisa d pakai,hati2 dong pengiriman barang cek dlu yg bener",negatif,,,,,,
120,Bosonline,"Alhmdlh mlm tf besok langsug nyampe barangnya.. Cantik suka, bungkusnya rapih dan aman, makasi utk pak kurir lazada, makasi jg freenya kuasnya lembut..",positif,,,,,,
121,Bosonline,"Mba / Mas ini barangnya gimana si? Kok lipstiknya bau, klq dipake dibibir rsanya jadi pait. Trus kemasan nya beda banget sama yg digmbr. Kecewa saya.",negatif,,,,,,
122,Bosonline,Saya kecewa bnget beda sm yg udh sy beli di toko lain.rasa sm aromany amt sngt beda bget......kecewa.......,negatif,,,,,,
123,Bosonline,"Barang sudah diterima, sayangnya sangat mengecewakan..selain tidak sesuai pesanan (pesan bsy noni yang dikirim bsy color), juga ada 2 atau 3 sachet yang bocor sehingga kotor kemana2",negatif,,,,,,
124,Bosonline,"Parfum udah saya trima, aromanya enak dan tahan lama. Jdi pengin coba aroma yg lain. Thx, saya suka",positif,,,,,,
125,Bosonline,pengiriman cepat.. sehari pesan bayar besoknya langsung nyampek... semoga cocok,positif,,,,,,
126,Bosonline,"Di deskripsi produknyankan VIVA ya? Tapi saya terima merknya malah VITA,,kalo mau nipu gausah pake embel embel VIVA doong !!!!",negatif,,,,,,
127,Bosonline,ternyata palsu ya sist katanya asli!!setelah barang sampai knp bedaknya kering tidak basah....,negatif,,,,,,
128,Bosonline,Makasih lazada contour creamnya sudah sampai. Pengirimannya cepat cuman 2 hari sudah sampai rumah. Barangnya bagus cocok banget untuk semua jenis kulit trus pensil alis vivanya juga bagus. Semua ori. Makasih lazada.,positif,,,,,,
129,Bosonline,"ga meyakinkan,, jujur agak takut mo pake..spt bukan ori wangi nya jg beda isi nya jg dkit",negatif,,,,,,
130,Bosonline,"Jenis Barang kurang sesuai dengan gambar, packing kurang rapi jadi barang agak rusak penyok karena tertekan",negatif,,,,,,
131,Bosonline,Parah bangettt... Barang yang dikirim bukan barang yang dipesankan... Bau crayon lagi...barang bau... Gak bener banget.... Baru kali ini kecewa belanja via lazada...,negatif,,,,,,
132,Bosonline,"Katanya bisa nambah tinggi sampai 10 cm,, tapi sampai sekarang tinggi saya blom nambah,, padahal saya sudah 2 minggu meminumnya,, grow up ampuh gk sih??",negatif,,,,,,
133,Bosonline,Udah order 2 kali bagus cocok d kulit ilangin kotoran banyak busa dan keset bersihin kulit,positif,,,,,,
134,Bosonline,"Gapake nunggu lama , brg lgsung dikirim. Kurirnya juga ramah. Tengkyu Lazada en seller",positif,,,,,,
135,Bosonline,Barang pesan revlon dikirimnya Ponds...( please dch klo emng mw jualan yang bener ) Note : Lazada...blokir ajah penjual2 nakal .,negatif,,,,,,
136,Bosonline,"Saya sangat kecewa atas produk yang di berikan geratis , krna pensil alisnya palsu.warnanya lebih gelap dari yang asli saya beli.untuk pengiriman sangat lambat. Padahal waktu tertera akan si terima tanggal 16",negatif,,,,,,
137,Bosonline,Barang nyampe dengan keadaan segel rusak botol kosong plastik kemasan basah smua...tdk trsisa sdikit pun...,negatif,,,,,,
138,Bosonline,kecewa bnget. harga nya sama saja saya cuman beli pensil viva aja.di teliti dong biar ga bnyak yg kecewa,negatif,,,,,,
139,Bosonline,kok nggak ada serum jerawatnya.. pdhal itu paket acne. kenapa malah serumnya nggak ada.. kecewa aku..,negatif,,,,,,
140,Bosonline,"Barang bagus, aman dan tidak ada yang rusak, FREE Kuas make up nya juga OK, lembut....pokoe mantap....lima bintang untuk produk ini",positif,,,,,,
141,Bosonline,"Ini gimana sih,packing sih tebel tapi pas dibuka kaca sebelah kirinya retak. Baru kali ini kecewa belanja dilazada,sebelumnya walaupun jarga murah tpi kondisi oke. Ini pasti emang barang yang dikirimnya udah rweject.kecewa banget.ga recomended deh. Harusnya kalo udah siap kasih harga murah juga tetap harus di jaga kondisi barang yang dikirimnya.payah. Kalo ada bintang -1 pasti",negatif,,,,,,
142,Bosonline,"Barang nya bukan ori, beda bgt sama yg sering saya beli dari botolnya pun udah kelihatan beda",negatif,,,,,,
143,Bosonline,"Makasih sdh diterima paketnya.. cepet bangeett.. 3hr sdh sampe di Denpasar... Good kwality, paket kemas rapi. Makasih Lazada..",positif,,,,,,
144,Bosonline,"Ko muka aku jdi bentol""kya cacar gini yah setelah memakainya kw kali sangat mengecewakan",negatif,,,,,,
145,Bosonline,"barangnya gak sesuai gambar, yang datang malah merek lain.",negatif,,,,,,
146,Bosonline,Sumpah nggak nyesel beli cream contournya! Sangat amat bermanfaat dan beneran ke coverage bgt bekas jerawat aku hihi,positif,,,,,,
147,Bosonline,Saya nyesal belinya satu baru make satu minggu lebih muka saya makin tambah berjerawat,negatif,,,,,,
148,Bosonline,"kecewa sekali karena setelah barang di terima ternyata bukan merk viva, ini pensil alis yg biasa di jual tukang jepit di pinggir jalan, kalau jualan yg jujur mas/mba biar berkah duitnya, ga halal kalo menipu orang seperti ini",negatif,,,,,,
